p_centroid,p_bead,span_05,span_10,span_15,span_20,Rg2_nm2,Vmean_eV,mean_x_centroid_nm,mean_y_centroid_nm,max_bead_radius_nm,P,Ex_eV_per_nm,Ex_meV_per_nm,asymmetry_eV,Rwall_nm,seed,n_samples,acceptance_local,acceptance_staging,acceptance_global,wall_test
0.8084444444444444,0.7953472222222222,0.20044444444444445,0.1471111111111111,0.11244444444444444,0.08711111111111111,7.495649629810687,-0.03639775061490362,2.948870610386274,0.02584755451755151,15.834069124662395,64,0.000258519998,0.258519998,0.0,30.0,330101,2250,0.9147690972222222,0.25224444444444444,0.48642306402950053,steep
0.7431111111111111,0.732125,0.19822222222222222,0.14,0.11377777777777778,0.09111111111111111,7.489654953144371,-0.0361700219449384,2.389838806723253,-0.03027384012377745,15.569309796921045,64,0.000258519998,0.258519998,0.0,30.0,330102,2250,0.9148076388888889,0.25566666666666665,0.4918942926937597,steep
0.8044444444444444,0.7845069444444445,0.2048888888888889,0.14533333333333334,0.11511111111111111,0.09466666666666666,7.560412806747023,-0.03618197645866164,2.881475892371489,0.004566956735643491,15.193017795998376,64,0.000258519998,0.258519998,0.0,30.0,330103,2250,0.9142645833333334,0.2569222222222222,0.4913432160235374,steep
0.7795555555555556,0.7629166666666667,0.21155555555555555,0.15688888888888888,0.12666666666666668,0.10622222222222222,7.602166687754019,-0.036186137367014544,2.6422384697403043,0.009769817200017121,18.559931078661993,64,0.000258519998,0.258519998,0.0,30.0,330104,2250,0.914309375,0.2538222222222222,0.4887402452619844,steep
0.8195555555555556,0.8006458333333333,0.21288888888888888,0.15155555555555555,0.11511111111111111,0.096,7.499490123993335,-0.03631628809451768,2.9952820583187236,0.007148900190086435,14.857411122799496,64,0.000258519998,0.258519998,0.0,30.0,330105,2250,0.9146614583333333,0.2536111111111111,0.4867707295472158,steep
0.7982222222222223,0.7842152777777778,0.20355555555555555,0.15022222222222223,0.11422222222222222,0.09111111111111111,7.632298544865778,-0.03613119423986464,2.874383101986388,0.02500096275335558,15.017041482941124,64,0.000258519998,0.258519998,0.0,30.0,330106,2250,0.9143857638888889,0.2588111111111111,0.49843819723337796,steep
0.7933333333333333,0.7782083333333333,0.2008888888888889,0.14933333333333335,0.11511111111111111,0.09244444444444444,7.428581893333641,-0.036334513647888214,2.8140138382655553,0.039450925567000035,15.641961623915202,64,0.000258519998,0.258519998,0.0,30.0,330107,2250,0.9145208333333333,0.2502888888888889,0.4949754354622599,steep
0.3382222222222222,0.3462013888888889,0.20177777777777778,0.14266666666666666,0.11777777777777777,0.09333333333333334,7.348585645318691,-0.0383365296036272,-1.6555202740270065,0.00024917910682769516,15.050233058462869,64,-0.0005060067980907471,-0.5060067980907471,0.006,20.0,420000,2250,0.9146496527777778,0.23973333333333333,0.48485860610109105,crossing
0.4066666666666667,0.40976388888888887,0.21066666666666667,0.14266666666666666,0.11644444444444445,0.09466666666666666,7.410691802775506,-0.03807303808942513,-1.0164176469420059,-0.005644909790795131,15.15653127534891,64,-0.0005060067980907471,-0.5060067980907471,0.006,20.0,420001,2250,0.9144291666666666,0.24101111111111112,0.47735891144323,crossing
0.4231111111111111,0.42191666666666666,0.2048888888888889,0.15155555555555555,0.12533333333333332,0.10711111111111112,7.465818749446181,-0.0380860588933492,-0.9109708670462943,0.0025384876531710176,16.942323609371652,64,-0.0005060067980907471,-0.5060067980907471,0.006,20.0,420002,2250,0.914534375,0.24193333333333333,0.47357791989229214,crossing
